,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,fc_mc,boundary_diff
127,2.5,2,2,32.0,1.0,2,0.06050855075928956,barmaid,postHC,PMN,,0.5,4.5,sub-111,offset,0.003153466340465108,1.5718878507614136
128,0.0,2,3,51.0,0.0,3,0.05690111138651649,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,-0.0004539730323079652,-0.017846220638602972
129,0.0,2,4,24.0,0.0,4,0.21020958025095107,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,0.15285449583212662,-0.2543277991935611
130,0.0,2,5,91.0,0.0,5,0.7658025290700087,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,0.7084474446511843,1.2362309992313385
131,1.5,2,6,41.0,1.0,6,0.2775736224078376,barmaid,postHC,PMN,,0.5,4.0,sub-111,offset,0.22021853798901317,0.6663326546549797
132,1.0,2,7,98.0,1.0,7,-0.9175494851411692,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,-0.9749045695599936,1.3745099157094955
133,0.0,2,8,31.0,1.0,8,0.375110126690322,barmaid,postHC,PMN,,0.5,2.5,sub-111,offset,0.31775504227149753,0.6146024093031883
134,0.0,2,9,36.0,0.0,9,0.04077188136334282,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,-0.016583203055481638,0.04971486795693636
135,0.0,2,10,55.0,0.0,10,0.11404058730952539,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,0.056685502890700935,-0.45438845455646515
136,4.0,2,11,63.0,1.0,11,-0.1233614547110455,barmaid,postHC,PMN,,0.5,1.5,sub-111,offset,-0.18071653912986996,-0.24821388069540262
137,0.0,2,12,63.0,0.0,12,-0.16520620393515395,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,-0.2225612883539784,-1.6198145151138306
138,0.0,2,13,81.0,0.0,13,-0.14017879571196082,barmaid,postHC,PMN,,0.5,0.0,sub-111,offset,-0.19753388013078527,-1.1616191267967224
139,3.0,2,14,111.0,1.0,14,-0.7121589405539265,barmaid,postHC,PMN,,0.5,1.5,sub-111,offset,-0.7695140249727509,0.7605147212743759
140,7.5,0,1,48.0,1.0,1,-0.10020920596517228,barmaid,postHC,PMN,,0.6428571428571429,2.5,sub-112,offset,-0.15379088443064476,-0.6160472929477692
141,0.0,0,2,32.0,0.0,2,0.1138996038260372,barmaid,postHC,PMN,,0.6428571428571429,0.0,sub-112,offset,0.060317925360564725,1.0086355903185904
